1.60983E+12,170,HTTP Request,200,OK,CobaTest 1-3,text,TRUE,,14841,119,4,4,http://www.google.com/,145,0,69
1.60983E+12,129,HTTP Request,200,OK,CobaTest 1-4,text,TRUE,,14913,119,4,4,http://www.google.com/,102,0,30
1.60983E+12,300,HTTP Request,200,OK,CobaTest 1-1,text,TRUE,,14842,119,3,3,http://www.google.com/,296,0,88
1.60983E+12,309,HTTP Request,200,OK,CobaTest 1-2,text,TRUE,,14909,119,2,2,http://www.google.com/,306,0,89
1.60983E+12,363,HTTP Request,200,OK,CobaTest 1-5,text,TRUE,,14919,119,4,4,http://www.google.com/,100,0,31
1.60983E+12,130,HTTP Request,200,OK,CobaTest 1-8,text,TRUE,,14854,119,4,4,http://www.google.com/,105,0,28
1.60983E+12,125,HTTP Request,200,OK,CobaTest 1-9,text,TRUE,,14880,119,4,4,http://www.google.com/,95,0,29
1.60983E+12,164,HTTP Request,200,OK,CobaTest 1-10,text,TRUE,,14912,119,3,3,http://www.google.com/,164,0,29
1.60983E+12,1982,HTTP Request,200,OK,CobaTest 1-6,text,TRUE,,14850,119,2,2,http://www.google.com/,285,0,32
1.60983E+12,1971,HTTP Request,200,OK,CobaTest 1-7,text,TRUE,,14802,119,1,1,http://www.google.com/,255,0,32
